rank,team,conference,winloss,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEMSoS,OppO,OppD,AdjEMNCSOS
61,Pittsburgh,ACC,17-15,13.64,115.7,102.1,66.3,-0.068,8.68,111.9,103.2,3.66
62,Liberty,CUSA,28-6,13.53,112.5,99.0,65.4,0.0,0.36,105.9,105.5,-2.97
63,USC,B10,16-17,12.96,116.7,103.7,68.3,-0.043,12.1,113.3,101.2,-2.09
64,Iowa,B10,17-16,12.83,119.6,106.7,69.6,-0.037,12.24,113.6,101.4,-8.46
65,San Francisco,WCC,24-9,12.68,111.7,99.1,67.8,0.053,3.71,109.6,105.9,-0.94
66,UC Irvine,BW,28-6,12.37,107.5,95.1,68.7,0.059,0.67,107.2,106.5,4.06
67,Kansas State,B12,16-17,12.21,109.4,97.2,67.0,-0.037,12.79,112.5,99.7,-1.23
68,UCF,B12,17-16,11.61,115.4,103.8,72.0,0.025,11.95,111.6,99.7,-1.1
69,South Carolina,SEC,12-20,11.46,110.5,99.0,65.4,-0.088,14.38,114.8,100.4,-2.07
70,Arizona State,B12,13-19,11.24,112.6,101.3,68.4,-0.019,15.54,114.6,99.0,8.26
71,Wake Forest,ACC,21-11,11.2,108.2,97.0,67.1,0.088,8.48,111.3,102.8,-2.28
72,North Texas,Amer,24-8,11.14,109.4,98.2,60.5,-0.019,0.99,108.6,107.6,1.68
73,Dayton,A10,22-10,10.99,115.7,104.7,65.9,0.032,4.84,108.4,103.6,4.72
74,Yale,Ivy,21-7,10.94,114.4,103.5,67.4,-0.05,-2.88,106.1,109.0,-0.9
75,Rutgers,B10,15-17,10.72,115.0,104.3,68.7,-0.012,13.18,113.6,100.4,-2.34
76,Utah,B12,16-16,10.61,112.4,101.8,68.8,-0.05,10.51,112.0,101.5,-9.47
77,Butler,BE,14-19,10.58,116.2,105.6,67.5,-0.077,11.36,112.1,100.8,2.99
78,George Mason,A10,26-7,10.21,105.8,95.6,64.6,0.09,0.54,107.2,106.6,-5.48
79,Saint Joseph's,A10,22-12,10.1,111.0,100.9,68.0,-0.059,0.93,106.6,105.7,-4.23
80,Nevada,MWC,17-16,9.94,112.8,102.9,63.8,-0.093,5.32,109.0,103.7,1.88
81,Colorado,B12,14-20,9.54,108.8,99.3,67.7,-0.042,13.39,113.1,99.7,-1.49
82,Stanford,ACC,20-13,9.51,112.2,102.7,66.1,0.043,6.03,109.8,103.7,-3.85
83,Lipscomb,ASun,25-9,9.49,112.7,103.2,65.9,-0.028,-4.62,105.6,110.3,3.88
84,High Point,BSth,29-5,9.32,118.5,109.2,66.5,0.011,-5.54,104.4,109.9,-5.92
85,Oregon State,WCC,20-12,9.29,116.3,107.0,63.8,-0.029,0.85,107.0,106.2,-4.53
86,Georgetown,BE,17-15,8.85,108.4,99.5,68.3,-0.037,6.3,109.8,103.5,-11.53
87,TCU,B12,16-16,8.85,105.8,97.0,66.6,0.03,13.05,113.5,100.5,2.69
88,LSU,SEC,14-18,8.65,109.1,100.4,68.0,-0.062,13.84,114.3,100.4,-7.02
89,Minnesota,B10,15-17,8.45,110.1,101.7,62.7,0.025,11.54,113.0,101.4,-6.13
90,Florida State,ACC,17-15,8.43,108.8,100.4,69.6,-0.007,6.41,110.3,103.9,-2.55
91,Arkansas State,SB,24-10,7.93,110.2,102.2,69.9,-0.037,-2.52,105.0,107.5,0.63
