rank,team,conference,winloss,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEMSoS,OppO,OppD,AdjEMNCSOS
253,Siena,MAAC,14-18,-7.42,102.9,110.3,67.3,-0.067,-6.85,102.7,109.6,-0.93
254,FIU,CUSA,10-23,-7.53,96.6,104.2,68.4,-0.05,0.17,107.0,106.9,-6.38
255,Fresno State,MWC,6-26,-7.67,100.9,108.6,70.6,-0.008,5.88,109.8,103.9,-2.17
256,Harvard,Ivy,12-15,-7.68,101.3,109.0,65.6,0.054,-2.39,105.4,107.8,-3.01
257,Charlotte,Amer,11-22,-7.76,104.6,112.3,64.9,-0.009,-0.3,107.3,107.6,-4.16
258,Iona,MAAC,17-17,-7.9,98.7,106.6,68.1,0.014,-7.27,102.6,109.9,-2.94
259,North Florida,ASun,15-17,-7.91,109.6,117.5,72.2,0.049,-2.46,106.4,108.8,6.88
260,Colgate,PL,14-19,-7.94,104.7,112.6,67.2,-0.057,-5.71,103.4,109.2,2.5
261,Mercer,SC,14-19,-8.02,99.3,107.3,71.1,-0.014,-2.55,106.2,108.7,-1.73
262,Evansville,MVC,11-21,-8.03,98.3,106.3,66.9,-0.021,0.91,108.1,107.2,0.33
263,Sacred Heart,MAAC,15-18,-8.06,104.7,112.8,70.2,-0.049,-7.58,101.8,109.4,-2.93
264,Gardner Webb,BSth,11-20,-8.12,103.1,111.2,69.0,-0.011,-2.33,107.4,109.7,-0.06
265,North Dakota,Sum,12-21,-8.18,107.7,115.9,69.0,-0.02,-0.68,108.1,108.8,2.6
266,Georgia State,SB,14-19,-8.24,106.4,114.7,69.0,0.013,-3.44,105.0,108.5,-1.91
267,Monmouth,CAA,13-20,-8.58,103.9,112.5,67.1,0.028,-1.93,105.4,107.3,2.18
268,Tulsa,Amer,13-20,-8.6,101.5,110.0,66.2,-0.044,-1.48,106.5,108.0,-9.63
269,Portland,WCC,12-20,-8.91,105.8,114.7,68.3,0.033,1.39,107.6,106.2,-4.14
270,Albany,AE,17-16,-9.06,103.3,112.3,67.5,0.018,-7.5,102.5,110.0,-4.67
271,Marist,MAAC,20-10,-9.1,97.2,106.3,64.1,0.107,-10.42,100.6,111.0,-11.79
272,Navy,PL,15-19,-9.17,102.3,111.5,67.0,-0.04,-8.09,101.9,110.0,-6.5
273,Alabama State,SWAC,19-15,-9.23,101.5,110.7,67.8,0.049,-8.74,100.7,109.5,6.1
274,Austin Peay,ASun,14-19,-9.24,101.9,111.1,66.1,0.025,-1.97,107.8,109.8,4.72
275,Ball State,MAC,14-17,-9.34,103.5,112.8,66.4,-0.056,-6.49,104.2,110.6,-6.74
276,Idaho,BSky,14-19,-9.46,107.3,116.8,66.3,0.032,-2.72,105.3,108.1,1.72
277,Stephen F. Austin,Slnd,14-17,-9.55,95.1,104.7,67.5,0.055,-2.82,104.4,107.3,0.78
278,Houston Christian,Slnd,12-20,-9.56,100.6,110.1,64.8,-0.006,-2.75,104.6,107.3,4.98
279,Columbia,Ivy,12-15,-9.57,106.4,116.0,70.7,-0.017,-5.14,104.5,109.6,-10.73
280,Texas Southern,SWAC,15-17,-9.59,96.6,106.2,70.0,-0.049,-7.34,101.8,109.1,12.57
281,Eastern Michigan,MAC,16-16,-9.71,104.3,114.0,67.2,0.115,-4.46,105.2,109.7,-3.31
282,Lehigh,PL,11-19,-10.2,100.7,110.9,67.3,-0.097,-6.39,103.0,109.4,3.22
283,Pacific,WCC,9-24,-10.27,101.5,111.7,66.5,-0.033,2.37,108.5,106.2,-0.13
284,Old Dominion,SB,15-20,-10.31,100.1,110.5,66.0,0.033,-4.05,105.0,109.0,-2.7
285,LIU,NEC,17-16,-10.38,94.9,105.3,64.8,-0.003,-10.81,100.9,111.7,-2.73
286,Tarleton State,WAC,12-20,-10.4,93.0,103.4,65.5,0.025,1.34,106.4,105.0,7.11
287,VMI,SC,15-19,-10.54,100.3,110.8,68.2,0.027,-2.59,106.4,109.0,-2.4
288,Bethune Cookman,SWAC,17-16,-10.56,97.3,107.9,69.1,0.119,-5.68,102.8,108.5,8.91
289,Lafayette,PL,13-20,-10.67,98.1,108.8,66.2,-0.077,-8.33,102.9,111.2,-5.25
290,Bowling Green,MAC,14-18,-10.89,99.0,109.8,68.8,0.004,-6.64,104.2,110.9,-6.72
291,Tennessee Martin,OVC,14-19,-10.96,101.8,112.7,66.3,-0.042,-7.47,101.5,109.0,2.57
292,Penn,Ivy,8-19,-10.97,104.0,115.0,66.9,-0.011,-1.5,105.9,107.4,-1.56
293,Western Michigan,MAC,12-20,-10.99,101.4,112.4,67.9,-0.008,-3.86,105.5,109.3,-0.09
294,Eastern Washington,BSky,10-22,-11.01,101.8,112.8,66.9,0.002,-1.22,107.1,108.3,6.33
295,Southern Utah,WAC,12-19,-11.14,98.2,109.3,68.9,0.032,-1.39,104.7,106.1,0.29
296,San Diego,WCC,6-27,-11.25,99.4,110.7,71.1,-0.074,0.88,107.5,106.6,-4.19
297,Southern Miss,SB,11-22,-11.28,97.6,108.9,70.9,-0.007,-2.48,105.1,107.6,0.29
298,UMBC,AE,13-19,-11.4,106.6,118.0,70.4,-0.072,-7.55,101.6,109.1,-5.52
299,Saint Peter's,MAAC,12-16,-11.4,94.9,106.3,63.9,0.007,-7.2,103.3,110.5,-0.11
300,Weber State,BSky,12-22,-11.47,101.2,112.7,65.6,-0.011,-2.5,106.3,108.8,2.82
301,Utah Tech,WAC,7-26,-11.77,101.8,113.6,67.5,-0.062,-0.08,105.1,105.2,3.35
302,Charleston Southern,BSth,10-22,-11.97,99.7,111.7,67.3,0.04,-0.14,108.5,108.6,4.48
303,Long Beach State,BW,7-25,-12.08,101.9,113.9,64.1,-0.071,0.96,106.8,105.9,2.05
304,Tennessee Tech,OVC,15-17,-12.28,100.9,113.1,67.8,0.045,-7.92,101.5,109.4,0.7
305,Boston University,PL,16-16,-12.31,99.0,111.3,63.1,0.061,-8.46,102.1,110.6,-5.93
306,Loyola MD,PL,12-19,-12.35,100.5,112.8,66.6,-0.03,-8.24,101.9,110.1,-5.43
307,Delaware State,MEAC,16-14,-12.49,101.7,114.2,70.3,0.054,-8.61,102.6,111.2,-1.24
308,Fairleigh Dickinson,NEC,13-20,-12.51,98.3,110.8,69.2,-0.073,-8.0,102.0,110.0,2.56
309,Denver,Sum,11-21,-12.53,98.7,111.3,66.5,0.005,-1.7,108.3,110.0,-0.46
310,Air Force,MWC,4-28,-12.56,98.9,111.5,64.5,-0.085,4.97,109.3,104.3,-4.26
311,Saint Francis,NEC,16-17,-12.76,99.7,112.5,67.0,0.074,-6.85,101.5,108.4,7.88
312,Howard,MEAC,12-20,-13.21,103.7,116.9,70.0,-0.0,-6.78,103.2,110.0,1.9
313,Rider,MAAC,14-19,-13.29,101.7,115.0,64.8,0.074,-6.54,102.7,109.2,0.12
314,IU Indy,Horz,10-22,-13.36,109.5,122.9,64.9,-0.073,-3.68,104.5,108.2,-3.19
315,Eastern Illinois,OVC,12-19,-13.37,93.6,106.9,66.2,0.003,-5.79,102.9,108.7,11.24
316,Louisiana,SB,12-21,-13.47,97.8,111.2,66.2,0.085,-2.54,104.8,107.3,1.24
317,Florida A&M,SWAC,14-17,-13.71,101.6,115.3,67.2,0.063,-6.26,101.6,107.8,19.59
318,Binghamton,AE,15-17,-13.88,98.8,112.7,65.8,0.056,-7.62,102.7,110.3,-5.59
319,Grambling State,SWAC,12-22,-13.91,95.2,109.1,63.9,-0.074,-8.23,101.3,109.6,10.59
320,Holy Cross,PL,13-19,-13.91,101.8,115.7,66.0,0.038,-6.38,102.6,109.0,-0.62
321,Niagara,MAAC,11-20,-14.12,101.2,115.3,65.1,-0.022,-8.16,101.1,109.3,-5.35
322,Stonehill,NEC,15-17,-14.22,100.8,115.1,65.0,0.031,-9.75,100.3,110.1,-3.07
323,North Carolina Central,MEAC,14-19,-14.33,102.8,117.1,66.8,0.015,-6.96,103.4,110.4,-0.47
324,Army,PL,16-15,-14.5,99.9,114.4,67.6,0.132,-7.84,102.9,110.8,-5.07
325,Alcorn State,SWAC,11-21,-14.57,97.6,112.2,64.7,-0.01,-4.89,103.3,108.2,13.34
326,Lindenwood,OVC,16-17,-14.76,94.1,108.9,69.7,0.108,-7.64,102.4,110.0,4.64
327,Morehead State,OVC,15-17,-14.8,97.7,112.5,64.0,0.079,-7.06,101.4,108.5,4.83
328,Oral Roberts,Sum,7-23,-14.92,102.9,117.8,67.3,-0.006,0.13,108.7,108.5,7.26
329,Coastal Carolina,SB,10-22,-15.03,100.4,115.5,63.3,-0.048,-5.16,103.7,108.9,-6.26
330,East Texas A&M,Slnd,5-26,-15.08,96.5,111.6,67.3,-0.027,-1.34,105.6,106.9,4.68
331,Morgan State,MEAC,14-18,-15.42,101.7,117.1,70.4,0.012,-8.95,102.2,111.1,-4.07
332,Stony Brook,CAA,8-24,-15.74,101.9,117.7,64.4,-0.017,-3.28,104.7,108.0,-1.13
333,Fairfield,MAAC,12-20,-15.94,98.2,114.2,66.1,0.07,-6.52,102.4,108.9,-3.1
334,Green Bay,Horz,4-28,-16.1,100.7,116.8,69.0,-0.05,-1.37,106.5,107.8,3.57
335,North Carolina A&T,CAA,7-25,-16.4,97.0,113.4,69.1,0.0,-3.15,105.0,108.1,-1.41
336,Southern Indiana,OVC,10-20,-16.53,98.3,114.8,67.0,-0.027,-7.94,101.7,109.7,-2.43
337,Detroit Mercy,Horz,8-24,-17.01,95.1,112.1,67.0,0.028,-2.2,106.8,109.0,1.19
338,Western Carolina,SC,8-22,-17.09,95.3,112.4,70.4,0.011,-0.02,107.4,107.4,7.18
339,USC Upstate,BSth,6-26,-17.51,98.4,115.9,72.7,-0.021,-0.86,107.3,108.2,2.5
340,Buffalo,MAC,9-22,-17.59,96.3,113.9,70.8,0.028,-3.26,105.9,109.1,0.53
341,Bellarmine,ASun,5-26,-17.66,103.8,121.5,66.2,-0.109,-3.89,105.3,109.2,-1.34
342,Mercyhurst,NEC,15-16,-17.83,98.8,116.6,64.8,0.099,-9.33,100.6,110.0,-1.72
343,Sacramento State,BSky,7-25,-17.93,95.4,113.3,65.5,-0.02,-3.64,105.6,109.3,-0.94
344,Wagner,NEC,14-16,-18.09,92.2,110.3,60.4,0.061,-10.42,99.9,110.3,-2.1
345,Northern Illinois,MAC,6-25,-18.15,94.3,112.4,68.9,-0.091,-3.61,105.6,109.2,-0.75
346,Central Arkansas,ASun,9-24,-18.16,97.7,115.8,66.4,0.036,-2.63,106.4,109.1,2.24
347,Western Illinois,OVC,12-19,-18.21,99.0,117.2,64.3,0.037,-8.1,101.3,109.4,-2.58
348,West Georgia,ASun,6-25,-18.29,96.9,115.1,68.1,0.012,-2.37,106.6,109.0,2.04
349,New Orleans,Slnd,4-27,-18.32,99.4,117.7,69.2,-0.016,0.88,106.7,105.8,10.62
350,Louisiana Monroe,SB,7-25,-18.33,96.1,114.5,67.7,-0.028,-3.71,104.5,108.2,-3.78
351,Cal St. Fullerton,BW,6-26,-18.37,93.9,112.3,68.1,-0.02,2.09,107.6,105.5,4.67
352,Stetson,ASun,8-24,-19.29,99.4,118.7,67.7,-0.015,-4.43,105.8,110.2,0.08
353,NJIT,AE,6-25,-20.31,93.2,113.6,66.5,-0.054,-6.61,103.0,109.6,-4.08
354,Le Moyne,NEC,9-23,-20.65,101.2,121.8,68.6,0.004,-7.34,101.6,109.0,0.35
355,New Hampshire,AE,8-24,-21.59,93.8,115.4,67.4,0.019,-6.1,103.7,109.8,-3.46
356,The Citadel,SC,5-25,-21.78,95.0,116.8,64.6,-0.134,-3.33,105.6,108.9,-7.55
357,Prairie View A&M,SWAC,5-27,-22.12,95.6,117.7,70.2,-0.062,-5.53,103.0,108.5,10.94
358,Maryland Eastern Shore,MEAC,6-25,-22.65,95.8,118.5,65.6,-0.113,-3.14,105.3,108.4,9.72
359,Canisius,MAAC,3-28,-22.96,99.0,122.0,66.2,-0.078,-4.89,102.9,107.7,3.81
360,Alabama A&M,SWAC,10-22,-23.49,92.1,115.6,71.1,-0.022,-9.78,101.1,110.9,1.81
361,Coppin State,MEAC,6-24,-24.29,87.4,111.7,67.8,0.033,-4.38,105.3,109.6,4.27
362,Chicago State,NEC,4-28,-24.31,91.9,116.2,68.3,-0.024,-3.29,104.3,107.6,8.6
363,Arkansas Pine Bluff,SWAC,6-25,-26.08,95.1,121.2,71.4,-0.074,-8.72,100.9,109.6,6.95
364,Mississippi Valley State,SWAC,3-28,-42.21,82.6,124.8,64.8,-0.016,-3.57,103.8,107.4,18.42
